,,,,,,,,,,,,,,
Category,signal,Description,bit size,byte size,type,lower value,upper value,resolution,offset,MinPhys,MaxPhys,unit,Default,remark
Detection[2048],Existence probability - detection level,"The signal ""Existence probability - detection level"" of the detection uses, for example, signal to noise ratio(SNR) and radar cross section(RCS). It is not based on history.

Additional information:
Use as confidence measure where a low value means less confidence and a high value indicates strong confidence.",8,1,uint8_t,0,100,1,0,0,100,%,255,??? ??? ?? ??? ?? ? ??? ??? ??? ??? ???? ??? ??
,Detection ID,"The signal ""Detection ID"" provides the unique identification number of the detection within the detection list.

Additional information:
The signal's ""Detection ID"" value is only unique for each sensor cluster's detection entities of DLI within one measurement cycle
If interfaces use the signal ""Detection ID"" to link, for example, object entities with detection entities, the interfaces shall ensure the unambiguity of the referenced entities at each or multiple measurement cycle [see, for example, cross interface optimisation ""Source entities of a derived signal"".",16,2,uint16_t,0,2048,1,0,0,2048,1,65535,??? ?? ??(measurement cycle) ??? ??? ? ??? Detection? ???? ???? ?? ???? ?? ??
,Object ID reference - detection level,"The signal's ""Object ID"" value defines the object to which this detection is associated to; invlid = ""no associated object"", for example, for the first detection cycle of the entity.

Additional information:
Refers to object (for example, potentially moving object) with the highest probability.
The signal's ""Object ID reference - detection level"" value could reference entities of the sensor cluster's OLI or entities which are used internally by the sensor cluster.
Alternative A2I: The mapping of object signal ""Object ID"" and detections signal ""Object ID reference - detection level"" could be provided in a separate interface.",8,1,uint8_t,0,0,1,0,0,0,1,0,"Reserve - Tracking ?? ?? ????? ?? ?? ??
(Detection? Update Object? Association? ??, ?? Object ID)"
,Time stamp difference - detection level,"Each detection entity could provide an individual time stamp, specifically a time stamp difference to the signal ""Time stamp - measurement"" value of the interface.

Additional information:
The time stamp of the detection can be calculated as the signal ""Time stamp - measurement"" of the DLI header for the cycle plus the signal ""Time stamp difference - detection level"" of the detection.",16,2,uint16_t,0,50,1,0,0,TBD,ms,65535,"0?? ??

ISO23150??? Radar scan ??? 2??? ??
 - continuous
   - ?? FMCW Radar
 - subdivided
   - ?? Beam Radar
?? Beam Radar??? ? ?? beam? ??? beam? ?? ??? ????? ?? offset ??? ?? ??? ??
MAR520? ?? continuous scan?? ? cycle?? ?? ??? ?? ??? ????? offset ???

A.1.5.2 Tims stamp - measurement ?? ??
In case of a continuous or a subdivided measurement cycle, the signal ""Time stamp difference - detection level"" shall be used to differentiate the real measured point in time of the entity acquisition."
,Radar cross section,"The signal ""Radar cross section"" provides the RCS of the detection.

Additional information:
It is the representative RCS of the detection.
The value is compensated. Slow changes (for example, aging of the sensor) are compensated, fast changes (for example, rain) are not compensated. All systematic absorptions are compensated, for example, from the bumper.",16,2,uint16_t,0,40000,0.005,-100,-100,100,dBms,65535,"???, ??? RCS ?? Table? ?? ??"
,Radar cross section - error,"The signal ""Radar cross section - error"" provides the error value of the signal ""Radar cross section"".",16,2,int16,-20000,20000,0.005,0,-100,100,dBms,32767,"?? ?? ??? ?? ?? ??? ?? ??
1. ??? ??? Linear Level? ????, RCS ??(Compensation) ???? ??? ? ??? ??
2. Ambiguity ID? ?? Detection? ????, ?? ?? Point Cloud?? RCS ???(Deviation)? ????."
,Signal to noise ratio - detection level,"The signal ""Signal to noise ratio - detection level"" provides the SNR of the detection.",8,1,uint8_t,0,254,0.25,0,0,63.5,dB,255,Detection? ?? ??(Signal Level)? CFAR ?? ?? ??(CFAR Noise Level)?? ?
,Signal to noise ratio - detection level - error,"The signal ""Signal to noise ratio - detection level - error"" provides the error value of the signal ""Signal to noise ratio - detection level"".",8,1,uint8_t,0,254,0.25,0,0,63.5,dB,255,"?? ?? ??? ?? ?? ??? ?? ??
1. Ambiguity ID? ?? Detection? ????, ?? ?? Point Cloud?? RCS ???(Deviation)? ????. -> SNR ????? ?? ??"
,Multi target probability,"The signal ""Multi target probability"" describes the possibility if more than one real-world object has led to this detection.",8,1,uint8_t,0,100,1,0,0,100,%,255,???? APS?? Noise Variance? ?? ? ?? Peak? ?? ??? %? ?? 
,Ambiguity grouping ID,"Ambiguous measurement uses one ID for signal ""Ambiguity grouping ID"" for ambiguous detection candidates. Ambiguous detections (all detection candidates for the same measurement value) are shown by the same signal's ""Ambiguity grouping ID"" value.
Detections of unambiguous measurements have signal ""Ambiguity grouping ID"" := 0.

Additional information:
Ambiguity can be specified by, for example, the signal ""Radial velocity ambiguity domain {begin, end}"", ""Range ambiguity domain {begin, end}"", ""Angle azimuth ambiguity domain {begin, end}"" or ""Angle elevation ambiguity domain {begin, end}"". Other ambiguities can add an additional signal analogous to these signals.
The signal's ""Ambiguity grouping ID"" value in the list is unique only for each cycle. The signal's ""Ambiguity grouping ID"" values could be reused every cycle.",16,2,uint16_t,0,2048,1,0,0,2048,1,65535,"?? ??? ?? Ambiguity?? ??? Detection? ?? ?? ID? ???? ??? ?? ??? Doppler Ambiguity ???? ???? ???? ??? ????? Dual PRI?? ?????? ??? Detection? ID? ?? 

?? ?? ???"
